기준일자,표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
20220501,KR7092130004,A092130,이크레더블,이크레더블,"e-Credible Co., Ltd.",20081024,KOSDAQ,주권,중견기업부,보통주,500,12043600
20220501,KR7096040001,A096040,이트론,이트론,"E-TRON CO.,LTD.",20080125,KOSDAQ,주권,중견기업부,보통주,200,527923748
20220501,KR7134060003,A134060,이퓨쳐,이퓨쳐,"e-future.Co.,Ltd.",20110427,KOSDAQ,주권,벤처기업부,보통주,500,4769250
20220501,KR7001840008,A001840,이화공영,이화공영,EehwaConstruction,19941123,KOSDAQ,주권,중견기업부,보통주,500,19805760
20220501,KR7000760009,A000760,이화산업보통주,이화산업,RIFA,19940429,KOSPI,주권,\N,보통주,5000,2800000
20220501,KR7024810004,A024810,이화전기공업,이화전기,"EHWA TECHNOLOGIES INFORMATION CO., LTD.",19941229,KOSDAQ,주권,중견기업부,보통주,200,83463623
20220501,KR7014990006,A014990,인디에프보통주,인디에프,In the F,19890620,KOSPI,주권,\N,보통주,500,70712995
20220501,KR7041830001,A041830,인바디,인바디,"InBody Co., Ltd.",20001214,KOSDAQ,주권,우량기업부,보통주,500,13683782
20220501,KR7352940001,A352940,인바이오,인바이오,"ENBIOCO., LTD.",20201211,KOSDAQ,주권,벤처기업부,보통주,500,10867730
20220501,KR7101140002,A101140,인바이오젠보통주,인바이오젠,INBIOGEN,20080402,KOSPI,주권,\N,보통주,500,53396820
20220501,KR7216400002,A216400,인바이츠바이오코아,인바이츠바이오코아,INVITES BIOCORE,20150629,KONEX,주권,일반기업부,보통주,500,7711315
20220501,KR7079950002,A079950,인베니아,인베니아,"INVENIA Co.,Ltd.",20050204,KOSDAQ,주권,중견기업부,보통주,500,23200000
20220501,KR7277410007,A277410,인산가,인산가,INSAN Inc.,20170929,KOSDAQ,주권,벤처기업부,보통주,100,32383349
20220501,KR7060150000,A060150,인선이엔티,인선이엔티,INSUN ENVIRONMENTAL NEW TECHNOLOGY CO.,20020614,KOSDAQ,주권,우량기업부,보통주,500,46563612
20220501,KR7033230004,A033230,인성정보,인성정보,"INSUNG INFORMATION CO., LTD",19990730,KOSDAQ,주권,중견기업부,보통주,500,39215380
20220501,KR7006490007,A006490,인스코비보통주,인스코비,Inscobee,19850117,KOSPI,주권,\N,보통주,500,109848100
20220501,KR7037330008,A037330,인지디스플레이,인지디스플레,INZI DISPLAY COMPANY LIMITED,19991214,KOSDAQ,주권,우량기업부,보통주,500,43885224
20220501,KR7023800006,A023800,인지컨트롤스보통주,인지컨트롤스,InziControls,19970623,KOSPI,주권,\N,보통주,500,15333213
20220501,KR7034590000,A034590,인천도시가스 보통주,인천도시가스,INCHEON CITY GAS,20061107,KOSPI,주권,\N,보통주,5000,4374754
20220501,KR7211050000,A211050,인카금융서비스,인카금융서비스,"INCAR FINANCIAL SERVICE Co.,Ltd.",20220216,KOSDAQ,주권,기술성장기업부,보통주,500,5137980
20220501,KR7083640003,A083640,인콘,인콘,"INCON Co., Ltd.",20051227,KOSDAQ,주권,벤처기업부,보통주,500,46234813
20220501,KR7216050005,A216050,인크로스,인크로스,"Incross Co.,Ltd.",20161031,KOSDAQ,주권,중견기업부,보통주,500,8056777
20220501,KR7049070006,A049070,인탑스,인탑스,"INTOPS CO., LTD.",20020221,KOSDAQ,주권,우량기업부,보통주,500,17200000
20220501,KR7119610004,A119610,인터로조,인터로조,INTEROJO CO. LTD.,20100728,KOSDAQ,주권,우량기업부,보통주,500,13216478
20220501,KR7017250002,A017250,인터엠,인터엠,IntermCorporation,19960103,KOSDAQ,주권,중견기업부,보통주,500,21045467
20220501,KR7129260006,A129260,인터지스보통주,인터지스,INTERGIS,20111216,KOSPI,주권,\N,보통주,500,29747874
20220501,KR7240340000,A240340,인터코스,인터코스,Interkos,20160421,KONEX,주권,일반기업부,보통주,500,3346323
20220501,KR7051370005,A051370,인터플렉스,인터플렉스,"INTERFLEX CO., LTD.",20030122,KOSDAQ,주권,중견기업부,보통주,500,23327472
20220501,KR7064290000,A064290,인텍플러스,인텍플러스,"INTEKPLUS CO.,LTD",20110105,KOSDAQ,주권,벤처기업부,보통주,500,12698962
20220501,KR7189300007,A189300,인텔리안테크놀로지스,인텔리안테크,INTELLIAN TECHNOLOGIES Inc.,20161018,KOSDAQ,주권,우량기업부,보통주,500,9183669
20220501,KR7150840007,A150840,인트로메딕,인트로메딕,"IntroMedic Co., Ltd.",20131219,KOSDAQ,주권,관리종목(소속부없음),보통주,100,38234020
20220501,KR7048530000,A048530,인트론바이오테크놀로지,인트론바이오,"iNtRON Biotechnology, Inc.",20110126,KOSDAQ,주권,기술성장기업부,보통주,500,34150762
20220501,KR7023810005,A023810,인팩보통주,인팩,INFAC,20040921,KOSPI,주권,\N,보통주,500,10000000
20220501,KR7175140003,A175140,인포마크,인포마크,"INFOMARK Co., Ltd",20150923,KOSDAQ,주권,관리종목(소속부없음),보통주,500,8772174
20220501,KR7115310005,A115310,인포바인,인포바인,"INFOvine co., Ltd.",20100209,KOSDAQ,주권,벤처기업부,보통주,500,3192883
20220501,KR7039290002,A039290,인포뱅크,인포뱅크,InfoBank Corporation,20060704,KOSDAQ,주권,중견기업부,보통주,500,8693978
20220501,KR7071200000,A071200,인피니트헬스케어,인피니트헬스케어,INFINITT Healthcare,20100526,KOSDAQ,주권,중견기업부,보통주,500,24396458
20220501,KR7101930006,A101930,인화정공,인화정공,"Inhwa Precision Co., Ltd",20101022,KOSDAQ,주권,우량기업부,보통주,500,9331705
20220501,KR7249420001,A249420,일동제약보통주,일동제약,ILDONG PHARM,20160831,KOSPI,주권,\N,보통주,1000,26803285
20220501,KR7000230003,A000230,일동홀딩스보통주,일동홀딩스,ILDONG HOLDINGS,19750628,KOSPI,주권,\N,보통주,1000,11540400
20220501,KR7013360003,A013360,일성건설보통주,일성건설,IlsungConstruction,19891202,KOSPI,주권,\N,보통주,500,54024880
20220501,KR7003120003,A003120,일성신약보통주,일성신약,IlsungPharmaceutical,19850114,KOSPI,주권,\N,보통주,5000,2660000
20220501,KR7333430007,A333430,일승,일승,IL SEUNG,20191106,KOSDAQ,주권,중견기업부,보통주,100,30726747
20220501,KR7068330000,A068330,일신바이오베이스,일신바이오,"ilShinbiobase Co., Ltd.",20071226,KOSDAQ,주권,관리종목(소속부없음),보통주,100,44216140
20220501,KR7003200003,A003200,일신방직보통주,일신방직,IlshinSpinning,19730523,KOSPI,주권,\N,보통주,5000,2400000
20220501,KR7007110000,A007110,일신석재보통주,일신석재,IlshinStone,19860304,KOSPI,주권,\N,보통주,500,77456610
20220501,KR7058450008,A058450,일야,일야,"ILYA CO., LTD.",20020117,KOSDAQ,주권,관리종목(소속부없음),보통주,500,33370000
20220501,KR7007571003,A007575,일양약품1우선주,일양약품우,IlyangPharmaceutical(1P),19891221,KOSPI,주권,\N,구형우선주,2500,445080
20220501,KR7007570005,A007570,일양약품보통주,일양약품,IlyangPharmaceutical,19740828,KOSPI,주권,\N,보통주,2500,19085664
20220501,KR7008500001,A008500,일정실업보통주,일정실업,IljeongIndustrial,19940812,KOSPI,주권,\N,보통주,5000,1200000
20220501,KR7019540004,A019540,일지테크,일지테크,IljiTechnology,19921103,KOSDAQ,주권,중견기업부,보통주,500,13513500
20220501,KR7081000002,A081000,일진다이아몬드 보통주,일진다이아,"ILJIN DIAMOND CO., LTD",20041222,KOSPI,주권,\N,보통주,1000,14202975
20220501,KR7020760005,A020760,일진디스플레이보통주,일진디스플,ILJIN DISPLAY,20020109,KOSPI,주권,\N,보통주,500,51513741
20220501,KR7020150009,A020150,일진머티리얼즈보통주,일진머티리얼즈,ILJIN MATERIALS,20110304,KOSPI,주권,\N,보통주,500,46110835
20220501,KR7103590006,A103590,일진전기 보통주,일진전기,ILJIN ELECTRIC,20080801,KOSPI,주권,\N,보통주,1000,37080390
20220501,KR7094820008,A094820,일진파워,일진파워,"ILJIN POWER CO., LTD.",20071106,KOSDAQ,주권,우량기업부,보통주,500,15078709
20220501,KR7271940009,A271940,일진하이솔루스보통주,일진하이솔루스,ILJIN HYSOLUS,20210901,KOSPI,주권,\N,보통주,500,36313190
20220501,KR7015860000,A015860,일진홀딩스보통주,일진홀딩스,ILJINHOLDINGS,19900322,KOSPI,주권,\N,보통주,1000,49347483
20220501,KR7226320000,A226320,잇츠한불보통주,잇츠한불,ITSHANBUL,20151228,KOSPI,주권,\N,보통주,500,21929315
20220501,KR8840110108,A950140,잉글우드랩,잉글우드랩,"Englewood Lab, Inc.",20161014,KOSDAQ,주식예탁증권,외국기업(소속부없음),보통주,0,19867866
20220501,KR7049550007,A049550,잉크테크,잉크테크,"INKTEC CO., LTD.",20020228,KOSDAQ,주권,벤처기업부,보통주,500,19606277
20220501,KR7254120009,A254120,자비스,자비스,"XAVIS CO., Ltd.",20161202,KOSDAQ,주권,기술성장기업부,보통주,100,22182217
20220501,KR7043910009,A043910,자연과 환경,자연과환경,"Nature and Environment Co., Ltd.",20051118,KOSDAQ,주권,중견기업부,보통주,500,81376916
20220501,KR7234920007,A234920,자이글,자이글,"Zaigle Co., Ltd.",20160906,KOSDAQ,주권,벤처기업부,보통주,500,13530910
20220501,KR7289220006,A289220,자이언트스텝,자이언트스텝,GIANTSTEP Inc.,20210324,KOSDAQ,주권,기술성장기업부,보통주,500,21834054
20220501,KR7317400000,A317400,자이에스앤디보통주,자이에스앤디,XI S&D,20191106,KOSPI,주권,\N,보통주,1000,38782520
20220501,KR7033240003,A033240,자화전자보통주,자화전자,JahwaElectronics,19990106,KOSPI,주권,\N,보통주,500,17900000
20220501,KR7174880005,A174880,장원테크,장원테크,"JangWonTech Co., Ltd.",20160715,KOSDAQ,주권,투자주의환기종목(소속부없음),보통주,500,19234882
20220501,KR7049630007,A049630,재영솔루텍,재영솔루텍,"JAEYOUNG SOLUTEC CO.,LTD.",20030124,KOSDAQ,주권,중견기업부,보통주,500,80828847
20220501,KR7000950006,A000950,전방보통주,전방,Chonbang,19681021,KOSPI,주권,\N,보통주,5000,1680000
20220501,KR7110020005,A110020,전진바이오팜,전진바이오팜,"JEONJINBIO CO., LTD.",20181214,KOSDAQ,주권,기술성장기업부,보통주,500,6341369
20220501,KR7208140004,A208140,정다운,정다운,"JUNGDAWN Co., Ltd.",20141217,KOSDAQ,주권,우량기업부,보통주,100,32684246
20220501,KR7040420002,A040420,정상제이엘에스,정상제이엘에스,"JLS CO.,LTD.",20000801,KOSDAQ,주권,우량기업부,보통주,500,15677552
20220501,KR7045510005,A045510,정원엔시스,정원엔시스,ZUNGWON EN-SYS INC.,20000907,KOSDAQ,주권,중견기업부,보통주,500,32209292
20220501,KR7217190008,A217190,제너셈,제너셈,Genesem Inc.,20150925,KOSDAQ,주권,벤처기업부,보통주,500,8769174
